Provinsi,2021,2022,2023
Aceh,77.55,77.48,78.85
Sumatera Utara,82.02,82.3,84.18
Sumatera Barat,68.68,69.27,70.97
Riau,83.64,84.06,84.58
Jambi,80.36,79.54,83.04
Sumatera Selatan,77.29,78.62,80.54
Bengkulu,79.81,79.58,80.28
Lampung,83.89,83.65,84.58
Kep. Bangka Belitung,92.24,91.63,93.21
Kep. Riau,91.62,87.74,91.1
Dki Jakarta,95.17,92.79,93.5
Jawa Barat,71.66,74.02,74.88
Jawa Tengah,83.28,84.37,85.2
Di Yogyakarta,97.12,96.21,96.42
Jawa Timur,80.97,81.13,83.72
Banten,82.89,85.12,86.41
Bali,95.95,95.94,95.7
Nusa Tenggara Barat,82.85,83.12,85.11
Nusa Tenggara Timur,73.36,73.7,75.67
Kalimantan Barat,78.39,77.41,79.89
Kalimantan Tengah,73.77,74.33,76.31
Kalimantan Selatan,81.43,82.55,82.89
Kalimantan Timur,89.77,90.33,91.21
Kalimantan Utara,79.8,82.22,84.22
Sulawesi Utara,84.85,84.05,85.91
Sulawesi Tengah,76.06,75.01,75.8
Sulawesi Selatan,91.57,92.24,93.69
Sulawesi Tenggara,85.62,87.07,88.99
Gorontalo,78.58,79.82,81.72
Sulawesi Barat,80.12,78.88,80.73
Maluku,76.77,76.47,78.17
Maluku Utara,77.11,79.39,80.64
Papua Barat,77.89,73.52,76.3
Papua,40.81,40.34,43.0
